path,name,folder,ext,lines,size_bytes
scss/tools/_core.scss,_core.scss,scss,scss,266,6442
desktop/src-tauri/bundle-resources/emubro-resources/platforms/snes/config.json,config.json,desktop,json,265,8492
emubro-resources/platforms/snes/config.json,config.json,emubro-resources,json,265,8492
desktop/src/stores/shell-theme.js,shell-theme.js,desktop,js,263,8155
desktop/src/utils/emulator-visuals.js,emulator-visuals.js,desktop,js,261,7088
desktop/src/stores/community-hub.js,community-hub.js,desktop,js,257,8501
js/theme-manager/theme-editor-preview.js,theme-editor-preview.js,js,js,257,12822
js/language-manager/llm-translation.js,llm-translation.js,js,js,256,9514
desktop/src/styles/_support.scss,_support.scss,desktop,scss,252,5902
scss/header/_layout-v2.scss,_layout-v2.scss,scss,scss,252,6631
js/language-manager/locale-dialogs.js,locale-dialogs.js,js,js,250,12009
desktop/src/utils/library-query.js,library-query.js,desktop,js,249,7392
scss/header/_nav-controls.scss,_nav-controls.scss,scss,scss,247,6027
desktop/src-tauri/bundle-resources/emubro-resources/platforms/psx/config.json,config.json,desktop,json,246,7885
emubro-resources/platforms/psx/config.json,config.json,emubro-resources,json,246,7885
desktop/src-tauri/src/bridge_extensions/core_base/platforms.rs,platforms.rs,desktop,rs,238,7358
desktop/src/utils/emulator-config.js,emulator-config.js,desktop,js,235,8262
scripts/sync-emubro-resources.js,sync-emubro-resources.js,scripts,js,233,7069
desktop/src-tauri/bundle-resources/emubro-resources/platforms/dreamcast/config.json,config.json,desktop,json,232,7122
emubro-resources/platforms/dreamcast/config.json,config.json,emubro-resources,json,232,7122
js/runtime/suggestions-core.js,suggestions-core.js,js,js,232,9644
desktop/src-tauri/bundle-resources/emubro-resources/platforms/amiga/config.json,config.json,desktop,json,230,6979
desktop/src/stores/app.js,app.js,desktop,js,230,7728
desktop/src/stores/shell-i18n.js,shell-i18n.js,desktop,js,230,6775
emubro-resources/platforms/amiga/config.json,config.json,emubro-resources,json,230,6979
desktop/src/views/SettingsToolsView.vue,SettingsToolsView.vue,desktop,vue,225,11343
js/profile/profile-modal.js,profile-modal.js,js,js,225,9928
desktop/src/components/MemoryCardPanel.vue,MemoryCardPanel.vue,desktop,vue,223,11100
desktop/src/components/LibraryHeaderControls.vue,LibraryHeaderControls.vue,desktop,vue,218,7031
desktop/src-tauri/bundle-resources/emubro-resources/platforms/n64/config.json,config.json,desktop,json,216,6007
emubro-resources/platforms/n64/config.json,config.json,emubro-resources,json,216,6007
js/runtime/i18n-manager.js,i18n-manager.js,js,js,215,7802
scripts/sync-gamelist.js,sync-gamelist.js,scripts,js,215,6421
js/game-manager/rendering/grouped-accordion.js,grouped-accordion.js,js,js,214,8894
js/theme-manager/theme-toggle-utils.js,theme-toggle-utils.js,js,js,214,8121
js/theme-manager/presets.js,presets.js,js,js,213,7175
memory-bank/progress.md,progress.md,memory-bank,md,211,21249
desktop/src/utils/suggestion-settings.js,suggestion-settings.js,desktop,js,210,6979
js/runtime/suggestions-settings.js,suggestions-settings.js,js,js,210,7750
desktop/src-tauri/src/bridge_extensions/youtube.rs,youtube.rs,desktop,rs,209,7545
desktop/src/stores/tools-workspace.js,tools-workspace.js,desktop,js,209,7133
js/settings/library-settings-modal/llm-handlers.js,llm-handlers.js,js,js,207,8431
desktop/src/stores/settings-tools.js,settings-tools.js,desktop,js,205,7672
js/settings/library-settings-modal/update-actions.js,update-actions.js,js,js,205,8996
desktop/src-tauri/bundle-resources/emubro-resources/platforms/atari2600/config.json,config.json,desktop,json,204,6414
desktop/src/shell/sections.js,sections.js,desktop,js,204,7433
emubro-resources/platforms/atari2600/config.json,config.json,emubro-resources,json,204,6414
js/theme-manager/theme-controls-utils.js,theme-controls-utils.js,js,js,204,10150
desktop/src-tauri/src/bridge_extensions/suggestions/relay/core.rs,core.rs,desktop,rs,203,6768
desktop/src/stores/gamepad-profiles.js,gamepad-profiles.js,desktop,js,202,7327
desktop/src/views/CommunityHubView.vue,CommunityHubView.vue,desktop,vue,202,9484
desktop/src-tauri/bundle-resources/emubro-resources/platforms/nds/config.json,config.json,desktop,json,196,5863
emubro-resources/platforms/nds/config.json,config.json,emubro-resources,json,196,5863
desktop/src/components/ShellQuickControls.vue,ShellQuickControls.vue,desktop,vue,195,7138
desktop/src/utils/shell-storage-cache.js,shell-storage-cache.js,desktop,js,194,4805
desktop/src-tauri/bundle-resources/emubro-resources/platforms/xbox/config.json,config.json,desktop,json,193,6021
emubro-resources/platforms/xbox/config.json,config.json,emubro-resources,json,193,6021
